wallet,balance,received
bc1qt24rgc8gk3xmx6fzzdwxc2c92cmp7xa8lju4za,0,0
bc1qp04ykljcchpuufsmly6dutvjd8qtg3f563xxdw,0,0
12V63PHiX8FvEgyewX5W1D2QrdJJSawqQM,0,0
1HFqLt3fbuewZe5ncJautgncS6hN1ZzX5r,0,0
37JcnKmYGBT7H5fyWuthHnrJsQjcHrewDB,0,0
3Cxt179UhfF4xkNQsytDmoJVWEJs1ERbZh,0,0
3M9tAMuamLcCpifaCQPSH3Th5F4VwjmyWz,0,0
37ksH1Hyv6JsWd2R8c7Vynvey8Zvo1qZmN,0,0
3QAqPfg26ZpT1NHFHWYi1ZuPYd3r8j44Aq,0,0
33UTXVkbX3w4w47TCZ81Z591CJoBNv7StW,0,0
3KyfMZTy7Zi5Q23UwQ1xMdNZphdbQ3Qh3Y,0,0
39WUiNppNBgNF9JUGmkt2gJQtGbPeyp6bc,0,0
38edz7XRAuA4gvvU86todGu9PoRn8BrWB4,0,0
3BWQhLHVWwm57jdhCTnZzD9XrYa4CYabiL,0,0
39fPanSUkZ15sPqXx5BaBiihcafqzzq6CS,0,0
36nvzDT1CdgLjfo2EhSitRPSvxhA5psY5A,0,0
1D8Ub82dsqwV3fS7BHmWy7PWVHdAfNRWcx,0,0
1Ccb87rHCN2pqBFxafz11MkUWBtHD1jWM8,0,0
193UjvwxxvqbZJopaALERyaCXN4Ep1ZKRb,0,0
3EWff3oToMtv2Ed4n6Hy3a3FZnQKRtoiCh,0,0
34WTeojnHcfh3Z2rXCpNHsiM65y2GC98Qo,0,0
398L99TJEJ5P9JGun3mEpuzkAotmaZhRyV,0,0
3MEs3kd3juiyCUkAVEjQFBkTtzk1Ps1pkC,0,0
3Jvm2D4t3H1TThkBHY5C7pvDMHFEe9YJTH,0,0
143SvQezdaCGK5nx2jZEHKCBKrMZ27CTEy,0,0
3Fpks2Ho8jHudPfrseXpLBbFkCX6RjED5X,0,0
3Aw8zuMbQmkXYZeEHLRLQLV9AHwBoKcaD1,0,0
3NSEweEhnhtXg2bQxgd5DEwact7fMhi1oe,0,0
3HrDFf1Yj95PFeSR58kCthga3p9hcz9Nmw,0,20069
3HrDFf1Yj95PFeSR58kCthga3p9hcz9Nmw,0,20069
35aWyVRkYme3aKeezp6wsJVGeoYsCTH44Z,0,20566
3MqifVVoWvgAq6L8opqHbk9jJw6vmgtN2n,0,32293
3AB6rRJRjMUfWhfkhUWucZu7F7mEHfXquW,0,42930
33EfiNWnNm7Sm2vDptHpZ7YbCLD1terroT,0,43007
3Ccr4ZXecb5JHD1qBcnqQyQwt7hCYxAZJu,0,44050
3ErYy1XxL7VZMBiEJaYqV1FHepZqPMpQxi,0,44373
3PNoZtKdNxnCEzdSQegBMbZiUufrL6RtL1,0,45727
363dkkRqjFKf2fAB42Dy3SZVm6Xwj7YDSx,0,50000
32VkjPPDbdxQuXbzwExhvHEYDXEK66fg5z,0,50000
35dQ7EhTvNQsx6NGaWvmXffNSUCitafN2E,0,50000
3EoECUwmZWDar7ZH1E5zaLiyMzwakgM7Py,0,50000
35ZqkJJ8J3fAKkVS8hH3GeZ6HRmixF2MNV,0,53559
33JCLFVubiAfBpx3cqEcyA8CsrNdhSE6gV,0,53935
3E2ZMmUyP2pFK91qYVtz6tRmqVUeqL8KmD,0,61000
3PyFQL2UNfzBVwCi9GYqn2vYpMeamcoQqv,0,62995
35r1ASUT9zkoH6toVUTGsErKkSzpncYEdD,0,63768
321vG6iUNZ9xEYRKf6VzTjVCn7Whw6pMnJ,0,63775
3Fru1eTkBYKXcsqLfjpNZcAboPKzeRYJTp,0,63940
3Q93jpr9S3KhDgsENDeZicDQWtvGPp7BQ9,0,64000
3GAaVV3EAmTM8qsfck5uV8g7j28SviHiBJ,0,64000
36Vb5jUMWqyxVWkMJQt5kofqnq4GZZctbf,0,64000
383XRiCY4uyzhwJJfxW9SNYQN3nB2knYe7,0,64000
3C34eTqgzgpNsohgrBb7A48PyrE9SCMa1n,0,64000
3KkH4bJP6s4bcgG8WqTRu5ePMK42AFNaD7,0,64000
3Gh1LMp9iSjW9ahoznMgGBb8mjoMaB51Lz,0,65000
3BXqsdz2rRvdxnbNQFo2yL9KhL5tTgu1aW,0,65000
36STZWhv58WMCTJuscD47LvMRxsq5hoMYz,0,65000
3NFT7rRbb2qfYAJfY1BY84B9YwMZ4KJSwb,0,65000
39vQ1Xnab97ECfmNsBRg7wH95jD85XBnjj,0,73000
32JzMfsus26466zDXDJ4LvjoaNqpz93ZWt,0,74000
32b49nRCASHWYHiswfzzUv9jzoTvpkBaJM,0,76000
3FQ8XGqdBEkAHXjGTsz7pyhMkJund6ryqm,0,78000
3EEzXGfLWPUkhfgZtXMW9T5mu9He4GEK8V,0,78000
3NAn1bJ49deFB9MmKw1gfBVr5Vwu5KsVzr,0,80564
169J9MvXSjJZUjarG7JXDD8qiQXZS4jj6A,0,84765
3FcdpAAn1R2F25asEBwgxiseqL5GauG7jD,0,85175
12p1cEthQKc8K2ogUtJWjKfiEmnrcoULAY,0,97745
376gVX4dj2udu719kzPwstUeF9AW3W4Hok,0,98310
3AFSA4evewcyvLRjwQ5Fr8xmWvxpgLsRi7,0,98413
3577P7Kt7ysNjjdqkDin9K4cfBW9KddHQc,0,100000
35zB26ZLf3xm2ef6Dgs4B35kPt7vctgkAG,0,109000
3KkMNaXwdyiMx8dmjQdnczDtwo7aVdfQp5,0,109000
32Bg4EsuNjxVJ9ZP2RWHv66ybZRHQotQS4,0,109970
17RiMroeXvNwQDMf9FEVaFZvWj2uja99Z5,0,112546
1JxCUJmdfsdAgQ9yqPG1jmEnX6G3zRLtcv,0,112779
3Lf2rWX2c1hDWfEnNvNXeukRA2Z1zb2cVo,0,121811
33hiG13GTHTV2G8aZxzBJHBPBpDNevcK2B,0,129598
3QNKPr6NUrWymxjpuoAx49iXgpAD7bgepM,0,144601
3CPbvktjKPiWcYu4PM4oVrQhvSQjCKnR59,0,153998
3PsVm4PDNhrhwnVf8rsL72mH1CcyCP3etD,0,161976
1KMRTrRYZABPnCnpqhzECMhjaF5sKCyeQK,0,166982
32BuvXNXrvBNexrXHv7Wi7UWBadzhPTK1t,0,168000
bc1q546cv2zm9vc6mfy47t6ud98m9h058mvd6e6z8a,0,171000
3351LRF9NrFH5v2CMZWsCv66tv5UAjX5Gn,0,174000
3351LRF9NrFH5v2CMZWsCv66tv5UAjX5Gn,0,174000
33i6BL4HGNL7YSdPWDP9x2swdJinNLs5zu,0,182445
395hQDyiBT16yt8jVVNj7WuZoQ4ouuFJcZ,0,188272
3HKn3KR4FG5LBwPtB48axLRohpNnykyHAb,0,189319
3NBrXnaaMyjhS89hZcqjQmjZXTecxxZ1qt,0,189867
3JGbpCKLyNhWatqZWD2RC6Vs4kzmqtPLPW,0,192142
3KXtQMqQqNRx37a5A5JTSSnZwzqoTvmxJE,0,192474
38ZcBm8BBEpVn4y7CkGL7yyyYPKMSsEvhP,0,192583
36M8QiR4tiT2HyqUocRParhzEf7q8smXBV,0,199402
bc1q2gvh55rwn9evetw5as3l5nrk7fnhkahdmyh9pz,0,200000
3ADhvEbBkcL5MrLFycjqdcWS3CSsWJZyDi,0,202812
bc1qj9nyy5ydym29lwrwnl4r5p2jag99muhjr55rjz,0,205000
34Km92xmMu8FPNJkjAC1LNu6Tab5HL3FmH,0,209150
3LDoWDGjsiEYMNZ9mACd842F7Hiq2qnPko,0,212431
373wfRhEsyeS5Li2AbLSNyekQbnYQko5EW,0,213196
3D7sspRAcaq6JGiMuvPSunjNdHfwdkxeqb,0,214443
33c8CB9B77q8wttnnwEPooPt29JwLNNVWW,0,217489
3LaDs8DLJCSiJDV8RYHGyk4EVjbVRvxC9A,0,218824
3QsBgNCy4UwKkYXPLSucytEY4LyddZSSN9,0,222571
385weBHnfNpr4EhKCaLZTN6zGcczt4Fben,0,222801
39ApJGgEiLAV23rPbcma5Kn2yqFfzWWNnW,0,224900
393FUUZgie8iv8RxLKDuiyXx6TRCV9pmz7,0,226896
3PC7zJHCuTUh8oNyJud9u72J2rGH7SZwaK,0,228197
12xkA61uzFZV9mUyu7FSLStSRt7e5FszKt,0,253024
bc1qah9yltjk556w375sdqqt2d4lltg49vkprgnsw7,0,260000
34mtddL3Htnruze1c4wEoMkcJsWpE2EtEs,0,271780
bc1qn3dv97k9ks7jl9764vy5s30t9vxhvmqg3ka0jv,0,320000
1LsiiBLip3eyMtdvawU5FtYHdAdHbaUkZX,0,338994
19RB32h5YEbz52XuYTGBAi6nH8Y9dSLwDm,0,339774
3FHwdzaSjv2trZZHkLCrXMKypCK4BwEcuy,0,348426
3B7AmkZ8VVhKAAqCp4ZLNVbmGJQoZcaBc9,0,350300
14c18vNEh43AqzkpysfiFkFCQBCiXBQUAi,0,352314
3JDKxEidX2JhmusBDB3BRaCahucEiHcK8n,0,361100
3BqLXuzz3pmHURc9qkwdNmbNE7n72pkjHM,0,362920
3C4MVjmXVu1vjJFfg4phf55L1LAscKa8dr,0,407400
38xS3Sqz6T5yQwNRd9E1NQyEjTnDroUMbT,0,421062
3Fx9okbhcR99VUJWcv5HVcoseS8dqLLgka,0,421572
1QAprZhPZ3QkAFbo59YyxjAuHcLKduFsFn,0,425963
1CTJ9TzkdhBQSzjxf1ZNhGVtuANz4mjrEC,0,432314
15As7FpCKd6qsZa1kKpPNG6ZdomEdwhoqG,0,433981
1Q2gW9D2SfhX2UkrDALz7v4ujXT1FWNWRR,0,490745
bc1qc6fpzh8jkuy7l8nk44yx3dztz36ejwgkq8p5vf,0,526813
3MJmNqGZyW9fR2wJ2VzyoW9p5NLvXK7AJj,0,568720
36UqDj8hGfZTVjpURvSnKtpJnJKjhYcvuY,0,580000
16cb8CaeUieSju6ZohxmKcw3Npx7zRKAe2,0,596253
1Kgn5APNfPCmifErbocfK37XPUR2jj4VJd,0,625482
3Akvdu3aV4xgWzwBepr7vFmqbrwGrUJkBs,0,630000
354uPBPcTArynUszkYhfNNRgsNHQ2qkHgS,0,650000
38MgwutAT95YVhjcCwEqrabYBYVvt6yAjD,0,664824
3BQ3gskUo42vrL9K4ax493hdqoFamr7ibD,0,665000
3HFTKiYZMLiAKttr7ybCtjKH8Vj6MXYVwz,0,667000
33xPKQo8frvWcfLgbvWmGBjKYkaLPTkjFj,0,667000
17p9YoDWHeCX6yuaX1UGVdA1AyXucJZnFa,0,755872
31uAe3zj7p9qXN2xiJP1pRciZysCKNtfTJ,0,760000
3BtNwNTG5Nhv5BwoM4zuydRzWaYmZvqqPd,0,762171
3AKp1ahJS5sdZzSKMHg3gymrnirdPfwenv,0,804766
3MRynF2B2NUdxG3ESbuJ1h5JKG6pLSthQN,0,813089
bc1q8qfesjc2slfwe8xv3l0rxwdexms006swf7gcur,0,813706
bc1q70rw85x8m795nvkee56krg5t6nlwuh6wjl6ycg,0,830088
bc1qa273a36dgnrdqevnx0lftn99t2we306eu7gm2k,0,844223
bc1qmxdamtwnwts779k2jhqea4nd4ucqhnqh8tadmc,0,853949
bc1qtjvs79cm5zghe95hr04e5cl9h2fh7x9chfmc6t,0,871252
bc1qsm35q5gu8awj5cu2r3hrzecvcvs7sn8lxn2pfx,0,875928
bc1qp0ncqsk5hu0d3kwq2erypdqur2yjzypdc40du8,0,886268
bc1qnm79vhfq5ss9qrsfgfgcztd58w3s7hwn24lc9u,0,911133
32ATGtQ5p3KgHwqcK8RfiVhDgjEEVJq4TX,0,912000
1AUzquxwEHhpjf1QPu1bHLE6L1jgHUyxie,0,913882
37CTB2iHPo7dYAH7xmx64BX21PQTrtFE5s,0,922352
bc1qlafd7lsrwrgfnszh5pl7tzsptcnm7jwz9zvh6a,0,951200
32zW4tVTk3SvWVvgFJUx8AYe4wGJQH6SGi,0,1020528
3E6GJ8Cmk7dBQE2maUisJfJNRdxB4ih1sN,0,1027528
bc1q3efl4m2jcr6gk32usxnfyrxh294sr8plmpe3ye,0,1044083
17mc4Qm7ka9jhQEUB5LTxP3gW3tsDYUJGQ,0,1047126
bc1qasgfdqnd4rxfw4m0wdjyqc3008amxvw8q2z6z4,0,1058132
1PE5vpJujzBvvVdQ71AaViopXGpcq7KpeM,0,1058570
3JhRe1sQg22oZNd1QALHANmMHqfJxuUPRV,0,1071955
3AY9ervLFVAe1pdsxX6idmPs4TbdLYF7vY,0,1072847
bc1qqtvk2hth8sjwwd7wfqhg9mav7x7ca9rccnnemf,0,1101706
bc1q9p5yyxsfwr987296yl5zselkczmp90uwzh95zl,0,1107344
bc1qkqztlxw4uwfdn2xsymu3pk3p2pltw4w7helfhk,0,1112395
1ENaU1UEFBfkjvkKfmMqNLumJmQZ3CRkZ6,0,1115520
bc1qdshsymz4u243ku66ysdqunu4d6wamhquxc386g,0,1116869
31yLWs2EeavyqpUNX7EokSSDKrwBR7HYyA,0,1118126
16cb7AUf64daxLmDhXzvhBeRzeuNj34Fc2,0,1118429
14JaX4ZRiXTSbCiTtSWkXd6ddWz9wjGdKz,0,1130507
bc1qa0klunvxhwwhxp0kced63250sczjdzltvr06tu,0,1136153
bc1qr8fw0xj28emurqhu8k7gj4llzgnxf4dejhl04h,0,1146278
39bkC3zGxhxg9UmK6DCQvqAto2VCanhNTM,0,1191781
bc1qdsp0axxxdcm595jq3wfap33ewmunxy33qp03cv,0,1197681
bc1qtn42kyjuz0lc9w9gue72xr9m2a7jgsf3rk2vul,0,1236179
bc1qphgsh952kqwcyvqexjfsmguv28dxlgd56ccnrn,0,1245683
bc1qfrmrz7nx6c62qdf6gqk65yajn2k89hfy9cum44,0,1249868
bc1q4hxu7x9jjlx9wqx8sr6pq2gajr786gffgpw3ey,0,1273546
bc1qam9e2ux49ur53hqxlraxjjtspxv88gk0ncwja9,0,1282168
bc1qfx2mxw2shaek42zdgctzljp498ur8lqvvqzyxz,0,1288798
bc1qfyxsgmc5axdd09xfv0y2j7jl0ztpj735pj8dah,0,1305314
158ugoZoH5NQiwDR6WmC37pFAF1kqCauGC,0,1318800
bc1q59g25qrrqnyvcl2jdmxh9y5c0tvnxzk4c4xrl6,0,1328363
3BMZu4Zjc37bo6fdk67MCvJFt6L4XfZXiF,0,1331474
bc1q93uacqvu2d2hv9zga7srv3jvqwjump26fcj23t,0,1347049
bc1qqefvkkldvz4t732rajkp53j82j073s6m5cku93,0,1347975
bc1qrr9v7txnjxxrqvpajan5ssmcntp5mwdn065jks,0,1366158
1G5wLGHbsMmbRT7CdfmBA4aeR7RNwiG8FY,0,1377380
36dmB68ZpeZZThy9SnCHoMvfqCKgZS1Grf,0,1384500
bc1qdehfl7kjwy0tez8eugjwmgt8m4l6jv5hfgqk3t,0,1392018
bc1qrkusavjestgd6lud0rjpr47x4vs2udpqesjsn8,0,1400000
bc1qp80m6ljlvqd7rvp8nrlfq93el0nvzdhelnkqqj,0,1400000
bc1ql4myqe20sd0dpk5f407045qksj0gdcm278cfp5,0,1400000
bc1qtqtau58ej7gedrgg32u0r3vt5twnkmqkfk63l5,0,1433802
3JMZcEJDPcmsF3W6P4KEqB8nMkz7xoNT9e,0,1440873
3CvVwhowFkgoqEw2cZE5DmMYvsqRgtQVaH,0,1445774
3CvVwhowFkgoqEw2cZE5DmMYvsqRgtQVaH,0,1445774
bc1qa6kcfywen34duq6msagpdv9fffcu4d2ljh5pgq,0,1472137
bc1q8m55q8gvsluzfqxqz9wfgkpcwgl9zxvsqv63ua,0,1480657
bc1q2ca6jfml0fvnke43dm5ade3hzagjyjfmyqw2p8,0,1548664
36cU3QigogwbqYPHCaUjXpPqQCLeZ7x3Gs,0,1571865
bc1qed8hy4c2hz5m2dpyv7sf3q9p97lah4x5q5d28k,0,1574059
bc1q2pnhvfkx0x9cqh8q4z96aa50rqxxcutp65ymx8,0,1589040
bc1qd7f5t5vtadrlz0ms09qw4qqcgypgj7pnpastdd,0,1600000
1CwbkiHug1yw7HGdYxEtXk9nQFUc6GKxzj,0,1600000
bc1qmy0vr0dgwk8m46mxl4pucgay3k0xv03772mn59,0,1609416
bc1qgdnyyhjpsvlkyr7lwyxzpflzptzwwpjhswxdpa,0,1613416
bc1qlhhgzzll4uqvd60teqn92y467kc04mj74jqudv,0,1622377
bc1qst63rewj2vmnnmftuhwg6hvy5rsce2dzlhk44n,0,1624112
354qrB8k66GNFrZrgT4o9BicxGJAv2JhFU,0,1638960
bc1qtqr3n2pa5h43c6pulqvr56c4gz4cw96sywdplf,0,1647992
bc1qmdjxd98fnk83l5k8cpvc77f9rljr7942cq0sfz,0,1669318
1KQ5tkv7NWjG2a67fP6UzTc7egE6HWAXux,0,1683065
bc1qtdyul6azg4lfecpkyaq3gdvpypxgz2ap8cgd5f,0,1700000
bc1qnzg5lf5syvkldfnvxl6umstn6xk2czrstt3sk8,0,1700000
bc1q69k8ll0jmxs4d29wztrdpn4dhyus5uh6pxqrfz,0,1700000
bc1q33uvkjlvyks7d2p3v5fz5xl3j0sazrsdh7qdn5,0,1700000
bc1qa68vp26dapzt09xc2fd99qg9uyt90k7n6h0xmg,0,1702953
3J4JNLkSAm9efzjWtC7tA9bunkt2ozwKNg,0,1705400
bc1q2cjna87ayslzn63aqntt263etzxgdth55fdzjd,0,1709953
bc1qlc0sla88psaxs9wyr0ef6zn30meff9zd72pncz,0,1720949
bc1qteth4dl689n0cuh3n63r6azcagmj4wj2m9yvht,0,1727770
bc1qtnqw53pxxp3j0a7ttuurqzuzxnn66su8svwv6k,0,1734806
bc1qr3w2ntxztyznys7mjmvl6wv5ywpgvj9c7nz0xe,0,1744838
34pUkWS7avd61Zvat4Auw3XDt185kiFs35,0,1763627
34rhHfB3ucs7UY6KfeNrU4EskLZxRP7Sn3,0,1772400
bc1qggg5yarwhqde03f7qnltyyzt7gnqh66xsvrmcf,0,1781815
bc1qedxzh30gvh7l6lrp2nf59zf9efckka2rt2r9z4,0,1785441
bc1q3hefqfvzfdnagwr9dkxphlz2xs6zem5r87hygh,0,1788506
bc1qjez2nzlhntkmqzhnwr7nk784pvfn6srw3fncq6,0,1800000
bc1q2vtrs0tt52knglpc7qv9sydvzvmz8qegxyxaak,0,1800000
3FP2GdkDZ93qfyBQUo6QS8VxH1bnMXz7Rp,0,1818041
12yC8MA7p2VwPs1cazWFcgAi3mYVbvS5YU,0,1850920
1PjHmSedhgKcogGsJxKneQCEMAR7WE2jLw,0,1871400
bc1qj6nnpnnn9a0zquvpd35azeruseqnxfs3jtmwcv,0,1880670
3JxtEwqwpxP9mDcp8AxByLgBvvzXhWmQjk,0,1884774
bc1q0wxas9pmy86gk2ptm3gprxcp5mdx92sed3tjhr,0,1900000
12YQDqmq3t6bCKPKMRWFmqrju4UMXbcqvF,0,1900000
1ErfMe9mV52t24Myk8hhHLPEiQrwUvrkVp,0,1900000
bc1qr5wpxnxvqz7fy5a7a0l2qnklahdl64fqsnc49f,0,1901513
3A8xNfeK2dXdDHi5PtKjZFa48HFixTqdAv,0,1909900
1MePQHgAYUumTF41RMM3htc7dGnz3gv6eh,0,1912300
3KnLUmfFXvGMDyueBrHJoxH4dPD8k6cJFx,0,1929594
1Q6SsW88b94a4P3Rxtfr4pRxvhqqJAWvEc,0,1950828
1DF9qtzbja79o3yBAmgoX5wdsSSpaPD2mE,0,1997033
bc1q3j4rq3k5d7ru85pecqtahcndkgx530e3g54633,0,1998621
bc1qpelsktvc6d8tuuafqzkeuyddgdsck480s8t4th,2000000,2000000
1B8sFxkPtMqR86dkfd3rFT38A5tncCDZD8,0,2000000
1B8sFxkPtMqR86dkfd3rFT38A5tncCDZD8,0,2000000
1KBuDgmq8umdoAkdUQLp9YApeHuuKFeUWF,0,2000000
173h1TRFSkkE8u2vfCeQV4Zu28kga2Qwqf,0,2000000
bc1q3ts2gkcfcx8a007gclltdcc47f9j4sx68cf7zn,0,2005068
3Abc4kZoDruwVZu6jERirKypok1EFmZZKt,0,2038916
bc1qk0nnkkk3sga4pjcvfx77l66etaz67m44ejahwx,0,2070779
bc1q9l9zx5ct4apdweyxfdwq8tdza93gefvl7v766r,0,2092417
1MxtwUpH4cWAz4en4kqVNzAdx5gpk9etUC,0,2100000
37aZB6jdQ1kN5Tg7F97XuMo1NDoQTTDRME,0,2133031
1LCEGFc6Cwe194B6gavMcZ56o2pbftXqWk,0,2137200
3GHLZQZscEhh9TAXcgfuTrNWGrqHfpssHa,0,2147046
3N5bSgwFtEJby5bYWbhSdUXAUSJS6Y5nAF,0,2160807
189zQCa3KTCv5mjvgcbcNY3dWJgGQ2ARBG,0,2185047
3Hfd7Y6eCbDxJgFSVCzL2byHhjSe2hrChL,0,2194847
bc1qstc4wgx4e2aqm4rtch0sxftr4g7gfq3fg8nwe7,0,2200000
bc1qlkvs2jweujlms5jnrsllaxuq6zly4wvmxysty9,0,2200000
bc1qpwcdpjcvn4xll4jewpc8lqcfjr8tn5cj4hl23l,0,2238197
37SuB5xqWYcqhCVEHJ2BUrWDQaT3MgLvEJ,0,2257850
bc1q4cjrllm405ktv2rm0jsh4ja5k8q9r7vmxfdcne,0,2259005
bc1qaljhrp7md4j4ceua7q89q40p6qxwp0fk35ztwr,0,2267573
1G5LWXMN42ueD2eWvm4zMrhXGihghHDgMq,0,2277478
1GibicFgGJ3s2u8WCP1pqa7S3QodLJ6og6,0,2281977
bc1q9klek9z8lwdnfka6f7ltsewm44a7ulcgkunvwg,0,2385202
1H4JUerGtbh74dP2e4N2ogmATd5SR47iXN,0,2389758
13AC5SnjWXFGMDXz1S6mJvV7uTAyyhzCvM,0,2390800
36KU3175zxYzBi6asod3GA9gr3vjW8Uvdb,0,2391428
bc1qdstkdj3m3cdckdmva7x5pk0qxz3ylaplun4kd4,0,2394290
1DS9DVVD4K86ppQhg8ta9XFVEaaW7NXZfA,0,2400000
3C5MYb2bZvQMSGTnDhtvJnt72ByZeFLgtN,0,2455783
15gjb8F5Zd8XRKBCgVxsr8ZuVzr7yBtnCN,0,2500000
1GW8NtoNdResP5dV6pMYDu9gBmQaxZ1Kmb,0,2513901
bc1q5z70v6r4q2ma806the665fcnz9jyzqwfkcy55h,0,2565114
36tM6BkDNyBBw6va4aKUatVK6M19ecqhfC,0,2565114
bc1qktkx0jynsfgmvlnern4zpnk8hy6u9h2zdtgtfz,0,2577001
16CnxXgXQDFVCzP5nU1bW8RXXXVK3U4g6f,0,2643426
3FLXTWPnwdhN1cFmCd2DoyszYDgiCir4Kj,0,2668760
bc1qlms20gsjnmtkv25kp5r3jvglq5c8yzy45s6ejs,0,2704578
1LVMwgkLPLjcXf7WCzzw5uKeKQVY4Wps6d,0,2939412
bc1q6gj8ymnjh863gmuvh2nc3462trrvzlxf2atzxn,0,2950000
17h32zGE7gF1De1kPhDVia2ac7cVCQM3Jr,0,2958903
bc1qkfuf2cd87w2u2frrlgatuhvuwj6clr8zyxlrum,0,2964719
1GXeMVJZhbMRRrvj4HWg7PC2hZV8uhF2Gy,0,3014475
17hp1afHnovGnm6D7TBjAx8dKqGESP1JbU,0,3023658
1316UEQn3rRjpGGoKYppmSb1afjQdqT8Lv,0,3030647
bc1qrqj988a305sgg2t4xcqqqlgqfzt87k5fk7a8f8,0,3054194
19EtWPotqs8Tnkt1oaWBNxZJYGkfN9TVn5,0,3065964
396PgCGZf7FAK5Sxmxa9NhGRZECddT2mMv,0,3107525
bc1qtk37tmu9s6556zg6d97v79hfl9xsz20ppyj4nm,0,3111413
1QFK5dZVGfHziccbf7b9UGp4kqZ2hvjAtQ,0,3112804
1BoirTa1Cms8DERPfL5hQWphyNE6vXLFoM,0,3207227
1HmDUNWeTngYT1EYvu3cyNSx1riFxQz9P1,0,3223916
1Nna7UP5LdzGoiYJrt946mx9z9AXp6Q2rS,0,3234730
1K1fSxkN3j8MCZGdiVwqwwT4mRNLii4NN3,0,3256516
1CRU5PoeYUY7UAhKFqvddaywNLjtyxhQDh,0,3272238
1N83ztMmMiXVtw4V7o6btiLP7CLWVFdi2X,0,3283115
1NVuhgbrVBkdyyyGrZM4DkLFAXqEvCz9kv,0,3416496
1QEZJGYqADzt153QxJKW2LQ8NUfYJJkzQZ,0,3472387
1CgJoMjYQviZmer9nQwjMh7e5wJ3paTZEe,0,3539501
bc1ql83sa7k4mxz3lhj5u57ssvjjct2p9lepq63fhj,0,3541926
bc1qdvmlyvaq46e53r8y6e4cyj4pq8cdf8fukj82x0,0,3583818
1LLRL4vZajTtpjuBh5VpBD8zUg73CHUsq3,0,3623581
12KHi1L1KUNDjSvkG5j56FRNbFrud3ZjUU,0,3659259
1GQ6JVboivqtnVvYn6MfpuAxDsvYQNLaw1,0,3711724
1Q5KzCmiXhtPcmb1ruNC6WX1JXD61mopNA,0,3711935
bc1qwgnjray05ujhvufc2dkedxn6v0sgaz7e05p4mv,0,3732701
38eeDQ9Q4NJiMJszzzwvaiJZaRx4rZMTpJ,0,3751600
bc1q7mp0j2vq2xgt7mzha0kh8rqsp5ev3927hum30h,0,3813950
1d5n71x6Z3G6sQjV1LAKJJSpE8UuhZfwd,0,3819644
bc1qkkfr9lkpjyngrrnu2635c7rzpxe8t994e52cra,0,3870008
12Vv764KkqnUb7RQBcoRhdXJ5PZ7J2bQhJ,0,3929898
3C8pbuUuYxdWdL5hmymir2RvhZvhudfNoN,0,4000300
1DbPsYbD26JyEdAST4u1bB1ZsioVMyfwgP,0,4009739
15mTyb1iR4bu2nghT68s8peqLJ9oe1LvjF,0,4040263
19oPLtkKWP97AFJtJxosLEyTgTBdcvD9gZ,0,4042469
bc1qqduftgg840gg6s2p58dyentj7xrdacwepascr9,0,4071716
3KRB8A9rLbd6uAAX39QpoXsyU56JYzdGKW,0,4086470
1DBMYmRY7jRazj6JiDj78jJbvn7ggeF9Tp,0,4171098
1BjgwkeavzV2shXvhAEvxiBSNRFncwSEWf,0,4192541
bc1qjmunjdwalz8dd45pcyevsp6fjvllyjukykpkay,0,4196458
1DaJHxuDDyesyRxGgYENEwfziTnPQMLiXz,0,4196458
3LL5rfEBh8N3chu5r77mX2oTy2A6Y13p55,0,4224942
1PYLUJrc7yCYYphHBXHQu5YGbCddtqm4qs,0,4233543
16bspUAAN8HbYbTANBd9VmHuDGptqMmgtV,0,4234596
